Date,1 Yr,3 Yr,10 Yr
01/31/2003,1.31,2.16,4.0
01/30/2003,1.3,2.15,4.0
01/29/2003,1.36,2.21,4.06
01/28/2003,1.34,2.13,4.0
01/27/2003,1.31,2.13,3.98
01/24/2003,1.31,2.08,3.94
01/23/2003,1.33,2.12,3.98
01/22/2003,1.31,2.09,3.95
01/21/2003,1.33,2.11,4.01
01/17/2003,1.34,2.15,4.05
01/16/2003,1.37,2.21,4.1
01/15/2003,1.37,2.21,4.1
01/14/2003,1.4,2.21,4.1
01/13/2003,1.41,2.27,4.15
01/10/2003,1.39,2.26,4.16
01/09/2003,1.44,2.33,4.19
01/08/2003,1.36,2.14,4.0
01/07/2003,1.4,2.19,4.04
01/06/2003,1.44,2.26,4.09
01/03/2003,1.41,2.2,4.05
01/02/2003,1.42,2.22,4.07
